"strain","median.mean","median.sd","sd.mean","sd.sd","genotype","expids","treatment"
"EMS",0.980932386777789,0.00692042891447218,1.02459016119336,0.0610945468294198,"wt.1","0","ems"
"EMS",0.999970625712668,0.000831368910172039,1.02058646572966,0.052562481042981,"wt.1","0","ems"
"EMS",1.46882121315897,0.000856022527856138,0.882101999685362,0.0473144597014818,"wt.1","0","ems"
"EMS",1.0002053278545,0.00746188152363327,1.07681892138521,0.0403390759418799,"wt.1","0","ems"
"EMS",0.999419748721817,0.0108960501788308,1.03118224577221,0.0799063810473815,"wt.1","0","ems"
"EMS",1.04344003114504,0.0296900883985739,1.08162844875717,0.0462406013607527,"wt.1","0","ems"
"EMS",0.914207639170864,0.0550424559893743,0.84019537448539,0.0799382257204652,"wt.1","0","ems"
"EMS",0.973583194910839,0.0133691546097362,0.965757299996832,0.0761175664633005,"wt.1","0","ems"
"EMS",1.02278382659006,0.00730059380503045,1.06369304214407,0.0781406917187521,"wt.1","0","ems"
"SHAM",0.998419755368262,0.00660576406897927,1.01759716335699,0.0256642800048411,"wt.1","0","sham"
"EMS",0.99106497706583,0.00982910521426531,0.990477609787456,0.0595551164234169,"wt.1","0","ems"
"EMS",1.00407733423776,0.00536730464794548,1.03303527800963,0.0376465002157341,"wt.1","0","ems"
"EMS",1.03717686872039,0.00691695874874095,0.968429730673651,0.0190115580367668,"wt.1","0","ems"
"EMS",0.997893589219416,0.00818928312738426,1.00615742535779,0.0530020116665645,"wt.1","0","ems"
"EMS",0.971392733909766,0.0132952124441209,0.918108702981092,0.0606392106086077,"wt.1","0","ems"
"EMS",1.02554794597343,0.00606669811483524,1.02570463402872,0.0334548987122316,"wt.1","0","ems"
"EMS",0.995857455666781,0.00792000260773527,0.935641195715477,0.0400625031301532,"wt.1","0","ems"
"EMS",0.99462617102692,0.0131276660095409,0.94238895325373,0.0455391879759979,"wt.1","0","ems"
"EMS",0.99394258682801,0.0110050894467887,1.02083487551809,0.0409565656448518,"wt.1","0","ems"
"EMS",1.00843889280023,0.00746322330369895,1.04840573284037,0.0169102489446697,"wt.1","0","ems"
"SHAM",1.00929702851902,0.0054227985356311,1.02224085259112,0.0267082374686429,"wt.1","0","sham"
"EMS",0.951788312971685,0.0103088267707838,0.900713845451643,0.0595796274693873,"wt.1","0","ems"
"EMS",0.993842128143418,0.00839681017399083,0.970135617909466,0.0531535944640435,"wt.1","0","ems"
"EMS",0.994586480933355,0.00585451243812978,0.987694632379547,0.0436600718795534,"wt.1","0","ems"
"EMS",0.996336133191468,0.00888797028096525,0.932217790921601,0.0515026075895971,"wt.1","0","ems"
"EMS",1.00579078353408,0.00264031158470004,1.01884355197992,0.0499776575178175,"wt.1","0","ems"
"EMS",1.00967958905238,0.00545006373034581,1.02572401731415,0.0298978576385709,"wt.1","0","ems"
"EMS",0.990835511609517,0.00565887015466223,1.01665858700154,0.0723706289934336,"wt.1","0","ems"
"EMS",1.00132937132436,0.00818281654284139,0.98853509537916,0.0320355053583428,"wt.1","0","ems"
