STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ems.m76	09	A06	4	0.752439023344863	0.0748566435946445	0.837449035055444	0.270088035778564	1.09468776057585	0.243072419093857	0.923089658940164	0.0918338781766173	1.10071657455684	0.354995187917652	1.18857484599187	0.263919789271577	0.246429860287673	0.251837762812934	0.417189912506433	0.415314897780524	0.289461479000258	0.287509657481329
ems.tata	10	A06	4	0.744397608644348	0.0717532516493809	0.576297369034436	0.0480115397497748	0.775077707051091	0.0427984968041116	0.75340439285238	0.0726214248491946	0.365506658055237	0.0304504902936274	0.505100309624087	0.0278907957106	0.0222920098846787	0.0178525492617173	0.0071079062580479	0.0073397320741159	5.15357658214801e-05	5.14827018121911e-05
ems.tata	11	A06	4	0.974432148730258	0.0576205135973008	1.67475500176571	0.142814100496296	1.72209840525702	0.176774563363775	0.986222218965664	0.0583176887707591	1.06218444963975	0.0905773779308122	1.12225191072504	0.115199915926392	0.483335047834585	0.479950711095138	0.442502963764754	0.450458337624884	0.34206740649404	0.346812779749961
ems.tata	12	A06	4	1.03035152645988	0.076091912139196	1.4668842357787	0.175249367958551	1.41964108512498	0.0916310117705994	1.04281818910022	0.0770125806430376	0.930346004653275	0.111148886409361	0.925147433771353	0.0597138222341438	0.611351462711166	0.608516766097511	0.444444444444444	0.452227659026526	0.313114163708391	0.311805269658296
null	13	A06	4	0.000999992905092888	0.00146879960415837	-0.000537935553859832	0.00555172852680294	2.71949401764666	3.70063459324777	0.000999992905092888	0.00146879960415837	-0.000537935553859832	0.00555172852680294	2.71949401764666	3.70063459324777	1	1	1	1	1	1
ems.tata	14	A06	4	0.959526945256943	0.134022401167653	1.41309017580614	0.392663630368066	1.45351149477217	0.21178858535694	0.971136671077344	0.135643995369921	0.896228050728316	0.249040129258498	0.947220000488546	0.138017748498587	0.527947755437857	0.525145716201578	0.494718944819414	0.484618951924563	0.466425992779783	0.467001950118033
ems.tata	15	A06	4	1.04365580710153	0.108613502747225	1.68926236474032	0.306230627890977	1.60804797301262	0.130102002233232	1.05628344390861	0.109927663848716	1.07138549417502	0.19422148947534	1.04792786796733	0.0847844816240945	0.588277709105892	0.588468468468468	0.555544132010487	0.549437567414865	0.447756591458087	0.443918258094405
sham.m76	16	A06	4	0.775407589360541	0.0273624516367912	0.677404849015978	0.255817062212568	0.868989809087521	0.306340510229618	0.951267418349167	0.03356816348638	0.890359548802504	0.336237870777611	0.94351966442137	0.332614136998942	1	1	1	1	1	1
ems.tata	01	A07	4	0.933513054109232	0.0261195878395381	1.57856258752665	0.360956746432619	1.68985844681775	0.39316970289406	0.944808026763773	0.0264356198747595	1.00117607141707	0.228930585458207	1.10124187154858	0.256219649797655	0.241707869798105	0.240666254125413	0.688253477588872	0.685972150593089	0.561525397560599	0.559155874309891
ems.m76	02	A07	4	0.834806531096461	0.0778202785810409	0.940881748334723	0.207206884630238	1.13070766972019	0.239146040902565	1.02413783996111	0.0954696555937102	1.23666526766191	0.272346187920187	1.2276840417879	0.259656660987794	0.584634410264338	0.581443298969072	0.281077454977037	0.276977677193704	0.273545599506198	0.273644648097616
